authority,location,region,food_insecurity2017-2021,food_insecurity2018-2022,life_expectancy_2022,house_price_jul_22,house_price_jul_21,house_price_change,welfare_applications2020-2021,welfare_applications2021-2022,homelessness_applications2021-21,homelessness_applications 2021-2022,average_household_gas_consumption_kwh_2021,total_consumption_kwh,businesses_2021,businesses_2022,foodbank_parcels_2021,foodbank_parcels_2022,average_rent_2021,average_rent_2022,average_energy_bill_2021,Foodbank_difference,Population,SIMD,Deprivation,Foobank_pc_2021,Foodbank_pc_2022,PT_GP,Alcohol
Orkney Islands,Rural,highlands_islands,5,5,80.4,"£222,241","£175,181",26.90%,225,215,150,123,NA,NA,935,960,1367,940,612,643,1250.351553,-427,22000,4052.206896551724,Least,62.13636363636363,42.72727272727273,15.31733932086207,0.23987445822746972
Perth and Kinross,Rural,east,6,5,78.86,"£240,865","£217,002",11.00%,7065,6950,694,638,14380.18003,1017.447388,2870,2870,5380,6769,590,626,1277.327702,1389,151100,4268.758064516129,Least,35.60555923229649,44.79814692256784,12.985308966849463,0.11441193070811445
Renfrewshire,Urban,south_west,6,7,75.53,"£156,991","£141,430",11.00%,12495,12910,867,905,12503.01786,1573.429072,1785,1660,9292,7938,518,547,1282.46208,-1354,176830,3312.5644444444442,Most,52.54764463043601,44.89057286659503,10.039342290213334,0.27653874195163514
Scottish Borders,Rural,east,7,7,79.06,"£195,746","£182,486",7.30%,3120,3115,679,701,13489.96738,774.9463684,2475,2490,1174,1053,516,525,1267.452687,-121,115020,3806.048951048951,Least,10.206920535559034,9.15492957746479,13.415873696041958,0.13629109012372795
Shetland Islands,Rural,highlands_islands,6,5,79.62,"£195,985","£173,535",12.90%,250,255,88,92,NA,NA,990,1005,1343,965,612,643,1200.794947,-378,23080,4223.8,Least,58.18890814558059,41.811091854419416,19.833927836933334,0.19832927253741733
South Ayrshire,Rural,south_west,8,8,76.4,"£170,908","£153,779",11.10%,5390,5810,774,849,13826.10569,1283.758074,1520,1475,5875,6327,500,493,1449.592766,452,112680,3438.8366013071895,Most,52.13880014199503,56.150159744408946,10.447193282143791,0.24349547511312217
South Lanarkshire,Rural,south_west,9,9,75.88,"£166,465","£147,280",13.00%,16810,17315,2162,2230,14134.04917,2429.382592,3415,3260,14023,13252,556,613,1339.119605,-771,318170,3277.6055684454755,Most,44.07392274570198,41.650689882767075,10.560707478452436,0.2239165922776838
Stirling,Rural,east,7,7,77.39,"£250,316","£218,105",14.80%,5335,5455,577,598,14808.49355,1181.303154,1820,1765,NA,NA,642,697,1361.668903,NA,94000,4203.900826446281,Least,NA,NA,11.176789354338842,0.1223412998454913
West Dunbartonshire,Urban,south_west,9,12,73.42,"£144,686","£124,251",16.40%,9770,9500,1168,1185,11422.32822,711.8385441,685,640,1589,NA,537,582,1151.287796,NA,89610,2362.9421487603304,Most,17.732395937953353,NA,10.902177679900827,0.32017185298568474
West Lothian,Urban,east,7,10,77.14,"£207,756","£182,643",13.80%,15315,15575,1366,1204,13673.65394,1800.247261,1805,1615,10141,11541,642,673,1302.255812,1400,181310,3486.3430962343095,Most,55.93182946335006,63.65341128454029,9.858298514811716,0.19778995104973038
